City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sur,OM,2020-06-17 05:11:57,22.57,59.53,310.61,30,80,2.19
1,Santa Rosa,PH,2020-06-17 05:11:57,14.31,121.11,308.15,56,40,1.5
2,Upernavik,GL,2020-06-17 05:11:58,72.79,-56.15,272.57,95,42,0.61
3,Longyearbyen,SJ,2020-06-17 05:09:08,78.22,15.64,276.15,69,75,4.1
4,Puerto Ayora,EC,2020-06-17 05:11:58,-0.74,-90.35,295.37,88,90,0.89
5,Bredasdorp,ZA,2020-06-17 05:07:35,-34.53,20.04,280.15,93,0,2.03
6,Itarema,BR,2020-06-17 05:11:58,-2.92,-39.92,297.67,86,4,5.07
7,Punta Alta,AR,2020-06-17 05:11:59,-38.88,-62.07,285.17,72,100,4.14
8,Ushuaia,AR,2020-06-17 05:08:42,-54.8,-68.3,277.15,86,90,10.3
9,Hobart,AU,2020-06-17 05:11:03,-42.88,147.33,284.82,50,20,3.6
10,Mataura,NZ,2020-06-17 05:08:40,-46.19,168.86,279.33,93,100,1.86
11,Rawson,AR,2020-06-17 05:12:01,-43.3,-65.1,283.12,54,42,3.82
12,Albany,US,2020-06-17 05:12:01,42.6,-73.97,290.93,64,0,1.35
13,Hasaki,JP,2020-06-17 05:12:01,35.73,140.83,302.59,47,20,5.1
14,Kavaratti,IN,2020-06-17 05:12:02,10.57,72.64,302.15,79,90,5.1
15,Jamestown,US,2020-06-17 05:12:02,42.1,-79.24,290.15,59,1,3.1
16,Bella Union,UY,2020-06-17 05:12:02,-30.28,-57.6,292.2,86,100,5.91
17,Pudozh,RU,2020-06-17 05:12:03,61.81,36.53,285.13,67,82,3.53
18,Qaqortoq,GL,2020-06-17 05:12:03,60.72,-46.03,277.15,86,0,2.6
19,Caravelas,BR,2020-06-17 05:12:03,-17.71,-39.25,295.39,83,100,6.14
20,Punta Arenas,CL,2020-06-17 05:12:03,-53.15,-70.92,274.15,86,87,4.6
21,Kavieng,PG,2020-06-17 05:12:04,-2.57,150.8,303.25,61,32,2.23
22,Saldanha,ZA,2020-06-17 05:12:04,-33.01,17.94,279.15,81,0,1.5
23,Manggar,ID,2020-06-17 05:12:04,-2.88,108.27,302.18,76,83,5.12
24,Rikitea,PF,2020-06-17 05:07:35,-23.12,-134.97,297.27,77,0,7.8
25,Dikson,RU,2020-06-17 05:12:05,73.51,80.55,272.98,95,86,5.01
26,Vaini,TO,2020-06-17 05:12:05,-21.2,-175.2,297.15,64,20,5.1
27,East London,ZA,2020-06-17 05:12:05,-33.02,27.91,284.15,81,1,2.6
28,Florence,IT,2020-06-17 05:12:06,43.77,11.25,292.15,88,75,1.5
29,Tarauaca,BR,2020-06-17 05:12:07,-8.16,-70.77,294.94,84,1,0.56
30,Cape Town,ZA,2020-06-17 05:09:01,-33.93,18.42,282.59,87,0,1.5
31,Kathmandu,NP,2020-06-17 05:10:09,27.72,85.32,298.15,83,75,1.0
32,Kathu,TH,2020-06-17 05:12:07,7.92,98.33,304.15,70,20,2.6
33,Provideniya,RU,2020-06-17 05:08:45,64.38,-173.3,285.15,66,40,4.0
34,Byron Bay,AU,2020-06-17 05:12:08,-28.65,153.62,292.15,72,90,5.7
35,Saint-Philippe,RE,2020-06-17 05:12:09,-21.36,55.77,293.15,77,75,3.1
36,Ilulissat,GL,2020-06-17 05:12:09,69.22,-51.1,275.15,80,49,2.1
37,Qaanaaq,GL,2020-06-17 05:12:09,77.48,-69.36,273.76,85,0,0.35
38,Port Alfred,ZA,2020-06-17 05:08:47,-33.59,26.89,286.11,75,0,4.98
39,Narsaq,GL,2020-06-17 05:12:10,60.92,-46.05,277.15,86,36,2.6
40,Pevek,RU,2020-06-17 05:12:10,69.7,170.31,282.0,61,92,2.88
41,Busselton,AU,2020-06-17 05:08:44,-33.65,115.33,288.71,98,89,9.76
42,Esperance,AU,2020-06-17 05:09:36,-33.87,121.9,295.15,26,96,11.3
43,Tessalit,ML,2020-06-17 05:12:11,20.2,1.01,305.72,11,28,5.87
44,Lebu,CL,2020-06-17 05:12:11,-37.62,-73.65,284.31,94,100,4.03
45,Bambous Virieux,MU,2020-06-17 05:12:11,-20.34,57.76,295.93,78,75,7.2
46,Katsuura,JP,2020-06-17 05:12:12,35.13,140.3,302.59,64,79,1.34
47,Menongue,AO,2020-06-17 05:12:12,-14.66,17.69,280.75,79,0,1.85
48,Salalah,OM,2020-06-17 05:12:12,17.02,54.09,303.15,84,40,0.5
49,Hithadhoo,MV,2020-06-17 05:12:12,-0.6,73.08,302.35,75,48,4.34
50,Bandundu,CD,2020-06-17 05:12:13,-3.32,17.37,293.96,64,0,0.83
51,Tiksi,RU,2020-06-17 05:12:13,71.69,128.87,285.15,47,100,3.89
52,Ritchie,ZA,2020-06-17 05:12:13,-29.04,24.6,275.15,100,13,4.13
53,Chokurdakh,RU,2020-06-17 05:12:14,70.63,147.92,299.86,30,27,5.34
54,Saint George,US,2020-06-17 05:12:14,37.1,-113.58,303.15,22,1,7.7
55,Tsabong,BW,2020-06-17 05:12:14,-26.02,22.4,280.04,84,2,5.68
56,Nago,JP,2020-06-17 05:12:14,26.59,127.98,304.15,79,75,8.2
57,Nouadhibou,MR,2020-06-17 05:12:15,20.93,-17.03,303.15,42,0,11.3
58,Kapaa,US,2020-06-17 05:12:15,22.08,-159.32,297.59,59,26,5.53
59,Vigia,BR,2020-06-17 05:12:15,-0.86,-48.14,299.15,83,23,3.6
60,Mahesana,IN,2020-06-17 05:12:16,23.6,72.4,304.15,79,75,4.1
61,Wagga Wagga,AU,2020-06-17 05:12:16,-35.12,147.37,289.15,59,20,1.5
62,Cidreira,BR,2020-06-17 05:12:16,-30.18,-50.21,290.6,94,51,6.65
63,Sorland,NO,2020-06-17 05:12:17,67.67,12.69,285.15,71,0,4.1
64,Priladozhskiy,RU,2020-06-17 05:12:17,59.85,31.48,291.48,99,38,1.29
65,Butaritari,KI,2020-06-17 05:12:17,3.07,172.79,301.65,77,67,3.65
66,Alice Springs,AU,2020-06-17 05:12:18,-23.7,133.88,291.15,23,0,6.2
67,Tasiilaq,GL,2020-06-17 05:12:18,65.61,-37.64,276.15,86,100,8.7
68,Cayenne,GF,2020-06-17 05:08:39,4.93,-52.33,297.15,100,75,1.5
69,Axim,GH,2020-06-17 05:12:18,4.87,-2.24,298.42,89,98,4.19
70,Shingu,JP,2020-06-17 05:12:19,33.73,135.98,299.15,69,75,3.1
71,Avarua,CK,2020-06-17 05:10:05,-21.21,-159.78,295.15,68,0,4.6
72,Marsa Matruh,EG,2020-06-17 05:12:19,31.35,27.25,295.55,75,0,8.64
73,Dhuri,IN,2020-06-17 05:12:20,30.37,75.87,314.35,19,0,4.58
74,Ndungu,TZ,2020-06-17 05:12:20,-4.37,38.05,293.24,67,17,3.32
75,Nobres,BR,2020-06-17 05:12:20,-14.72,-56.33,293.16,71,0,2.18
76,Atuona,PF,2020-06-17 05:12:21,-9.8,-139.03,299.96,77,58,8.33
77,Ponta Do Sol,PT,2020-06-17 05:12:21,32.67,-17.1,293.15,88,40,0.5
78,Huarmey,PE,2020-06-17 05:12:21,-10.07,-78.15,289.95,86,51,5.0
79,Ahipara,NZ,2020-06-17 05:12:22,-35.17,173.17,288.34,80,100,4.09
80,Georgetown,MY,2020-06-17 05:09:29,5.41,100.34,305.15,74,40,1.0
81,Arraial Do Cabo,BR,2020-06-17 05:12:22,-22.97,-42.03,294.43,72,48,7.46
82,Klyuchi,RU,2020-06-17 05:12:22,52.27,79.17,294.31,43,10,7.84
83,Oriximina,BR,2020-06-17 05:12:23,-1.77,-55.87,297.34,91,90,1.3
