City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Rainfall over last hr (inches),Snowfall over last hr (inches)
0,Hermanus,ZA,-34.42,19.23,57.0,91,83,11.16,light rain,0.1,0.0
1,Salalah,OM,17.02,54.09,84.2,83,20,1.12,few clouds,0.0,0.0
2,Koungheul,SN,13.98,-14.8,98.13,34,82,6.6,broken clouds,0.0,0.0
3,Taltal,CL,-25.4,-70.48,66.94,55,22,1.1,few clouds,0.0,0.0
4,Carutapera,BR,-1.2,-46.02,82.06,80,0,7.25,clear sky,0.0,0.0
5,Kruisfontein,ZA,-34.0,24.73,56.77,88,98,0.58,overcast clouds,0.0,0.0
6,Narsaq,GL,60.92,-46.05,53.6,37,75,4.7,broken clouds,0.0,0.0
7,Lukaya,UG,-0.15,31.87,73.4,78,20,4.7,few clouds,0.0,0.0
8,Jamestown,US,42.1,-79.24,78.01,69,90,8.05,overcast clouds,0.0,0.0
9,Coquimbo,CL,-29.95,-71.34,55.4,93,75,10.29,broken clouds,0.0,0.0
10,Dikson,RU,73.51,80.55,35.98,84,99,21.18,overcast clouds,0.0,0.0
11,Busselton,AU,-33.65,115.33,42.01,70,0,6.35,clear sky,0.0,0.0
12,Hithadhoo,MV,-0.6,73.08,82.96,73,100,7.25,light rain,0.3,0.0
13,Punta Arenas,CL,-53.15,-70.92,39.2,82,70,2.24,broken clouds,0.0,0.0
14,George Town,MY,5.41,100.34,82.4,83,20,4.7,few clouds,0.0,0.0
15,Saint-Joseph,RE,-21.37,55.62,68.0,77,54,2.24,broken clouds,0.0,0.0
16,Koslan,RU,63.46,48.9,42.78,74,99,12.3,overcast clouds,0.0,0.0
17,Brigantine,US,39.41,-74.36,82.4,58,20,12.75,few clouds,0.0,0.0
18,Torzhok,RU,57.04,34.96,59.02,77,92,7.65,overcast clouds,0.0,0.0
19,Walvis Bay,NA,-22.96,14.51,69.8,34,1,10.29,clear sky,0.0,0.0
20,Georgetown,MY,5.41,100.34,82.4,83,20,4.7,few clouds,0.0,0.0
21,Berlevag,NO,70.86,29.09,43.92,80,4,3.27,clear sky,0.0,0.0
22,Melfi,IT,41.0,15.65,69.8,64,40,17.22,scattered clouds,0.0,0.0
23,Quelimane,MZ,-17.88,36.89,68.0,82,20,6.93,few clouds,0.0,0.0
24,Tasiilaq,GL,65.61,-37.64,44.6,70,100,31.09,light rain,0.1,0.0
25,Maragogi,BR,-9.01,-35.22,76.73,80,0,13.78,light rain,0.1,0.0
26,Fonte Boa,BR,-2.5,-66.27,81.39,92,54,3.15,light rain,1.0,0.0
27,Bom Jesus,BR,-9.07,-44.36,85.1,39,0,4.94,clear sky,0.0,0.0
28,Porto Novo,BJ,6.5,2.6,78.08,87,100,3.8,moderate rain,2.0,0.0
29,Lomovka,RU,53.92,58.37,59.0,51,16,6.71,few clouds,0.0,0.0
30,Bredasdorp,ZA,-34.53,20.04,59.0,87,18,6.13,few clouds,0.0,0.0
31,Kavaratti,IN,10.57,72.64,83.95,75,98,15.99,moderate rain,2.1,0.0
32,Blagoyevo,RU,63.37,47.92,43.03,72,82,11.61,broken clouds,0.0,0.0
