City_ID,City,Country,Max Temp,Lat,Lng,Current Weather,Hotel Name
1,Salalah,OM,84.2,17.02,54.09,few clouds,HAMDAN PLAZA HOTEL
4,Carutapera,BR,82.06,-1.2,-46.02,clear sky,Lidera
14,George Town,MY,82.4,5.41,100.34,few clouds,Cititel Penang
17,Brigantine,US,82.4,39.41,-74.36,few clouds,Legacy Vacation Resort Brigantine Beach
20,Georgetown,MY,82.4,5.41,100.34,few clouds,Cititel Penang
27,Bom Jesus,BR,85.1,-9.07,-44.36,clear sky,Hotel Brasão & Floricultura Bella Flor
36,Saint George,US,98.01,37.1,-113.58,clear sky,Best Western Plus Abbey Inn
38,Kralendijk,BQ,87.8,12.15,-68.27,broken clouds,Divi Flamingo Beach Resort & Casino
47,Hamilton,US,91.99,39.18,-84.53,overcast clouds,Six Acres Bed & Breakfast
49,Nawa,IN,93.96,27.02,75.0,clear sky,M Guest House
62,Port Blair,IN,82.51,11.67,92.75,broken clouds,Hotel Sentinel
66,Urucui,BR,87.04,-7.23,-44.56,scattered clouds,Formula Flat Uruçui
72,Bucarasica,CO,87.8,8.04,-72.87,scattered clouds,Hotel el rubi
73,Albion,US,88.0,42.24,-84.75,broken clouds,Days Inn by Wyndham Albion
75,Dori,BF,99.39,14.04,-0.03,overcast clouds,Oasis Annexe
79,Garowe,SO,86.36,8.41,48.48,broken clouds,Curubo Hotel
80,Maceio,BR,80.6,-9.67,-35.74,scattered clouds,Mercure Maceio Pajucara Hotel
88,Jacqueville,CI,80.6,5.21,-4.41,few clouds,Hotel Le Martin Pecheur
90,San Andres,CO,86.0,12.58,-81.7,scattered clouds,Hotel Arena Blanca
97,Pilar,BR,80.6,-9.6,-35.96,scattered clouds,Pousada Manguaba
100,Canutama,BR,91.4,-6.53,-64.38,scattered clouds,Hotel Jhennifer
111,Campoverde,PE,87.8,-8.48,-74.81,broken clouds,"Hospedaje ""Señor De Muruhuay"""
113,Filadelfia,US,86.0,39.95,-75.16,thunderstorm,Loews Philadelphia Hotel
116,Mansa,IN,98.33,29.98,75.38,broken clouds,STARiHOTEL Mansa
120,Chapais,CA,84.2,49.78,-74.85,clear sky,Hôtel Opémiska
121,Bull Savanna,JM,84.94,17.89,-77.59,clear sky,Big Red's
122,Elat,IL,89.6,29.56,34.95,clear sky,Club Hotel Eilat
125,Yanam,IN,81.61,16.73,82.22,overcast clouds,The Regency Hotel
126,Cozumel,MX,89.01,20.51,-86.95,scattered clouds,Cozumel Palace® All Inclusive Resort
130,San Cristobal,VE,87.8,7.77,-72.22,scattered clouds,Pirineos
135,Mandera,KE,84.2,3.94,41.87,scattered clouds,Kornesh Hotel and Lodging
137,Darnah,LY,80.64,32.77,22.64,clear sky,زاوية الرفاعي
142,Easton,US,84.99,40.69,-75.22,broken clouds,Grand Eastonian Hotel & Suites
144,West Bay,KY,91.4,19.37,-81.42,few clouds,Calypso Cove
145,Kohlu,PK,84.6,29.9,69.25,clear sky,Captain Shaheed Mir Jahangir Abad kohlu
157,Victoria,HK,84.0,22.29,114.16,scattered clouds,Mini Hotel Central
161,Bhasawar,IN,93.49,27.03,77.03,clear sky,Sidhh baba mandir
166,Shelburne,CA,87.8,44.08,-80.2,scattered clouds,The Retreat at the Farm
171,Dakar,SN,80.6,14.69,-17.44,clear sky,Novotel Dakar
176,Brewster,US,87.01,41.4,-73.62,few clouds,Heidi's Inn
181,Matara,LK,80.96,5.95,80.54,overcast clouds,Amaloh Boutique Resort
182,Asyut,EG,84.2,27.18,31.18,clear sky,Florence Hotel Assiut
185,Madinat Sittah Uktubar,EG,80.6,29.82,31.05,clear sky,Happy Kennel Academy
186,Abu Dhabi,AE,89.6,24.47,54.37,clear sky,Beach Rotana
